,country,cdn,values
810,AE,akamai,189.720685
811,AE,akamai,189.666225
812,AE,akamai,189.57415
813,AE,akamai,189.37041
814,AE,akamai,189.016965
815,AE,akamai,189.129925
816,AE,akamai,190.750125
817,AE,akamai,190.42031
818,AE,akamai,190.337615
819,AE,akamai,274.716955
820,AE,akamai,264.474665
821,AE,akamai,264.30901
822,AE,akamai,189.960995
823,AE,akamai,189.59614
824,AE,akamai,206.807545
825,AE,akamai,190.358215
826,AE,akamai,190.23816
827,AE,akamai,190.4835
828,AE,akamai,195.557635
829,AE,akamai,195.194075
830,AE,akamai,195.1617
831,AE,akamai,189.62477
832,AE,akamai,257.746015
833,AE,akamai,189.723525
834,AE,akamai,211.195915
835,AE,akamai,211.10757
836,AE,akamai,211.12294
837,AE,akamai,189.297645
838,AE,akamai,189.339435
839,AE,akamai,189.12916
840,AE,akamai,189.648125
841,AE,akamai,211.145925
842,AE,akamai,189.65015
843,AE,akamai,189.37009
844,AE,akamai,189.00893
845,AE,akamai,189.04946
846,AE,akamai,274.289105
847,AE,akamai,189.750065
848,AE,akamai,189.67513
849,AE,akamai,189.208435
850,AE,akamai,189.167715
851,AE,akamai,189.025255
852,AE,akamai,189.67443
853,AE,akamai,189.65596
854,AE,akamai,192.946255
855,AE,akamai,194.98756
856,AE,akamai,194.72584
857,AE,akamai,194.59133
858,AE,akamai,196.37696
859,AE,akamai,193.684245
860,AE,akamai,193.74064
861,AE,akamai,191.20346
862,AE,akamai,197.24265
863,AE,akamai,196.345065
864,AE,akamai,257.859725
865,AE,akamai,190.517195
866,AE,akamai,190.51939
867,AE,akamai,191.1711
868,AE,akamai,190.91139
869,AE,akamai,190.855085
870,AE,akamai,191.64925
871,AE,akamai,195.697505
872,AE,akamai,191.62828
873,AE,akamai,191.10218
874,AE,akamai,190.953715
875,AE,akamai,190.929355
876,AE,akamai,190.578805
877,AE,akamai,191.65093
878,AE,akamai,257.575155
879,AE,akamai,192.374795
880,AE,akamai,192.23589
881,AE,akamai,192.26519
882,AE,akamai,257.69585
883,AE,akamai,211.51453
884,AE,akamai,210.082825
885,AE,akamai,212.772885
886,AE,akamai,219.25396
887,AE,akamai,220.12907
888,AE,akamai,190.580625
889,AE,akamai,191.67569
890,AE,akamai,190.47188
891,AE,akamai,194.569185
892,AE,akamai,194.33582
893,AE,akamai,194.3646
894,AE,akamai,191.71146
895,AE,akamai,190.467305
896,AE,akamai,257.686695
897,AE,akamai,190.97287
898,AE,akamai,190.97418
899,AE,akamai,191.05914
900,AE,akamai,191.783485
901,AE,akamai,190.43396
902,AE,akamai,257.682375
903,AE,akamai,195.86503
904,AE,akamai,195.669595
905,AE,akamai,195.65918
906,AE,akamai,240.76828
907,AE,akamai,234.181045
908,AE,akamai,240.836385
909,AE,akamai,213.68628
910,AE,akamai,201.772265
911,AE,akamai,245.38472
912,AE,akamai,277.555595
913,AE,akamai,257.495225
914,AE,akamai,285.1527
915,AE,akamai,281.382765
916,AE,akamai,281.26794
917,AE,akamai,281.157055
918,AE,akamai,277.316935
919,AE,akamai,277.543445
920,AE,akamai,257.506835
921,AE,akamai,281.409915
922,AE,akamai,281.08455
923,AE,akamai,281.123895
924,AE,akamai,277.436345
925,AE,akamai,277.47092
926,AE,akamai,277.60651
927,AE,akamai,281.46918
928,AE,akamai,281.18351
929,AE,akamai,281.227795
930,AE,akamai,293.207115
931,AE,akamai,257.80362
932,AE,akamai,293.09579
933,AE,akamai,286.840415
934,AE,akamai,286.51669
935,AE,akamai,286.689455
936,AE,akamai,257.55114
937,AE,akamai,270.390235
938,AE,akamai,270.300225
939,AE,akamai,278.918155
940,AE,akamai,278.76386
941,AE,akamai,278.814295
942,AE,akamai,280.89391
943,AE,akamai,257.61784
944,AE,akamai,280.228215
945,AE,akamai,276.101905
946,AE,akamai,275.962285
947,AE,akamai,275.86451
948,AE,akamai,276.04169
949,AE,akamai,275.968265
950,AE,akamai,275.818925
951,AE,akamai,280.936095
952,AE,akamai,280.793885
953,AE,akamai,257.611715
